fecha,producto,categoría,cantidad,precio_unitario,total
2025-01-09,Rodillo felpa 9 pulgadas,Pinturas,3,16.00,48.00
2025-01-10,Foco LED 9W luz fría,Electricidad,15,7.12,106.80
2025-01-10,Lija al agua grano 220,Pinturas,3,1.00,3.00
2025-01-11,Cinta aislante negra,Electricidad,1,3.57,3.57
2025-01-11,Cinta métrica 5 m,Herramientas manuales,3,13.52,40.56
2025-01-11,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,8,5.35,42.80
2025-01-12,Cemento bolsa 42.5 kg,Materiales de construcción,8,29.18,233.44
2025-01-12,Destornillador plano 6 pulgadas,Herramientas manuales,2,9.02,18.04
2025-01-12,Foco LED 9W luz fría,Electricidad,15,7.40,111.00
2025-01-13,Cinta métrica 5 m,Herramientas manuales,3,13.97,41.91
2025-01-15,Cemento bolsa 42.5 kg,Materiales de construcción,4,29.12,116.48
2025-01-15,Cinta aislante negra,Electricidad,10,3.53,35.30
2025-01-15,Destornillador plano 6 pulgadas,Herramientas manuales,1,9.02,9.02
2025-01-15,Interruptor simple empotrable,Electricidad,8,8.69,69.52
2025-01-15,Nivel de burbuja 40 cm,Herramientas manuales,4,27.86,111.44
2025-01-15,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,2,8.39,16.78
2025-01-16,Canaleta PVC 20x10 mm,Electricidad,8,4.74,37.92
2025-01-16,Casco de seguridad amarillo,Seguridad industrial,1,24.32,24.32
2025-01-16,Esmalte sintético negro 1/4 gl,Pinturas,1,26.69,26.69
2025-01-17,Pegamento cerámico 25 kg,Materiales de construcción,2,23.80,47.60
2025-01-17,Tomacorriente doble,Electricidad,15,10.72,160.80
2025-01-17,Trampa lavatorio PVC,Gasfitería,1,12.45,12.45
2025-01-18,Codo PVC 1/2 pulgada,Gasfitería,4,1.54,6.16
2025-01-18,Yeso bolsa 20 kg,Materiales de construcción,12,13.78,165.36
2025-01-19,Cable THW 12 AWG metro,Electricidad,1,3.63,3.63
2025-01-19,Cemento bolsa 42.5 kg,Materiales de construcción,5,30.46,152.30
2025-01-19,Llave francesa 10 pulgadas,Herramientas manuales,2,38.23,76.46
2025-01-19,Pegamento cerámico 25 kg,Materiales de construcción,8,23.76,190.08
2025-01-20,Alicate universal 8 pulgadas,Herramientas manuales,3,24.06,72.18
2025-01-20,Cemento bolsa 42.5 kg,Materiales de construcción,5,29.23,146.15
2025-01-20,Cinta aislante negra,Electricidad,10,3.46,34.60
2025-01-20,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,1,8.79,8.79
2025-01-21,Ducha eléctrica 5500W,Gasfitería,2,92.27,184.54
2025-01-21,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,5,8.80,44.00
2025-01-22,Cable THW 12 AWG metro,Electricidad,8,3.48,27.84
2025-01-22,Llave esférica 1/2 pulgada,Gasfitería,6,14.65,87.90
2025-01-22,Regadera plástica 10 L,Jardinería,2,27.62,55.24
2025-01-23,Cemento bolsa 42.5 kg,Materiales de construcción,10,29.63,296.30
2025-01-23,Cemento bolsa 42.5 kg,Materiales de construcción,12,30.70,368.40
2025-01-23,Lente de seguridad transparente,Seguridad industrial,10,9.53,95.30
2025-01-23,Trampa lavatorio PVC,Gasfitería,4,12.67,50.68
2025-01-24,Cinta aislante negra,Electricidad,2,3.67,7.34
2025-01-24,Cinta aislante negra,Electricidad,4,3.60,14.40
2025-01-24,Remache pop 1/8 ciento,Tornillería y fijaciones,2,15.28,30.56
2025-01-25,Anclaje expansivo 3/8 unidad,Tornillería y fijaciones,5,2.91,14.55
2025-01-25,Martillo de acero 16 oz,Herramientas manuales,2,26.06,52.12
2025-01-25,Pegamento cerámico 25 kg,Materiales de construcción,6,23.19,139.14
2025-01-25,Tomacorriente doble,Electricidad,1,11.06,11.06
2025-01-26,Cemento bolsa 42.5 kg,Materiales de construcción,2,29.38,58.76
2025-01-26,Fertilizante universal 1 kg,Jardinería,3,14.42,43.26
2025-01-27,Arena fina saco 40 kg,Materiales de construcción,10,9.51,95.10
2025-01-27,Cinta métrica 5 m,Herramientas manuales,1,13.84,13.84
2025-01-28,Cinta aislante negra,Electricidad,8,3.45,27.60
2025-01-28,Martillo de acero 16 oz,Herramientas manuales,4,27.76,111.04
2025-01-29,Casco de seguridad amarillo,Seguridad industrial,1,23.93,23.93
2025-01-29,Destornillador plano 6 pulgadas,Herramientas manuales,1,8.85,8.85
2025-01-29,Mascarilla KN95 unidad,Seguridad industrial,10,2.58,25.80
2025-01-29,Tubo PVC agua 1/2 pulgada,Gasfitería,2,7.67,15.34
2025-01-30,Alicate universal 8 pulgadas,Herramientas manuales,2,23.97,47.94
2025-01-30,Cinta aislante negra,Electricidad,5,3.64,18.20
2025-01-31,Cinta aislante negra,Electricidad,15,3.45,51.75
2025-01-31,Foco LED 9W luz fría,Electricidad,1,7.12,7.12
2025-01-31,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,10,9.78,97.80
2025-02-01,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,1,154.43,154.43
2025-02-01,Cemento bolsa 42.5 kg,Materiales de construcción,15,29.76,446.40
2025-02-01,Codo PVC 1/2 pulgada,Gasfitería,5,1.60,8.00
2025-02-01,Interruptor simple empotrable,Electricidad,15,9.26,138.90
2025-02-01,Martillo de acero 16 oz,Herramientas manuales,3,26.54,79.62
2025-02-02,Arena fina saco 40 kg,Materiales de construcción,12,9.78,117.36
2025-02-02,Cemento bolsa 42.5 kg,Materiales de construcción,8,28.78,230.24
2025-02-02,Ladrillo pandereta unidad,Materiales de construcción,3,1.00,3.00
2025-02-02,Lente de seguridad transparente,Seguridad industrial,2,9.74,19.48
2025-02-02,Rodillo felpa 9 pulgadas,Pinturas,1,15.60,15.60
2025-02-02,Taladro percutor 650W,Herramientas eléctricas,3,198.47,595.41
2025-02-03,Lente de seguridad transparente,Seguridad industrial,2,9.46,18.92
2025-02-04,Arena fina saco 40 kg,Materiales de construcción,2,9.81,19.62
2025-02-04,Destornillador plano 6 pulgadas,Herramientas manuales,2,9.14,18.28
2025-02-04,Foco LED 9W luz fría,Electricidad,3,6.91,20.73
2025-02-04,Yeso bolsa 20 kg,Materiales de construcción,10,14.19,141.90
2025-02-05,Fertilizante universal 1 kg,Jardinería,5,14.48,72.40
2025-02-05,Guante de seguridad latex par,Seguridad industrial,3,6.68,20.04
2025-02-05,Lente de seguridad transparente,Seguridad industrial,5,9.87,49.35
2025-02-06,Cable THW 12 AWG metro,Electricidad,1,3.62,3.62
2025-02-06,Thinner acrílico 1 L,Pinturas,2,13.02,26.04
2025-02-07,Maceta plastica mediana,Jardinería,4,10.45,41.80
2025-02-07,Tomacorriente doble,Electricidad,10,11.01,110.10
2025-02-08,Cinta métrica 5 m,Herramientas manuales,5,14.20,71.00
2025-02-08,Ladrillo pandereta unidad,Materiales de construcción,20,1.01,20.20
2025-02-08,Martillo de acero 16 oz,Herramientas manuales,5,26.29,131.45
2025-02-09,Alicate universal 8 pulgadas,Herramientas manuales,1,25.14,25.14
2025-02-09,Alicate universal 8 pulgadas,Herramientas manuales,2,23.71,47.42
2025-02-10,Anclaje expansivo 3/8 unidad,Tornillería y fijaciones,4,2.83,11.32
2025-02-10,Tomacorriente doble,Electricidad,8,10.89,87.12
2025-02-11,Cinta aislante negra,Electricidad,1,3.46,3.46
2025-02-11,Cinta métrica 5 m,Herramientas manuales,1,13.27,13.27
2025-02-11,Codo PVC 1/2 pulgada,Gasfitería,2,1.61,3.22
2025-02-11,Lija al agua grano 220,Pinturas,1,1.03,1.03
2025-02-11,Llave esférica 1/2 pulgada,Gasfitería,1,14.14,14.14
2025-02-12,Cemento bolsa 42.5 kg,Materiales de construcción,3,29.58,88.74
2025-02-12,Guante de seguridad latex par,Seguridad industrial,5,6.84,34.20
2025-02-12,Maceta plastica mediana,Jardinería,4,10.43,41.72
2025-02-12,Pegamento cerámico 25 kg,Materiales de construcción,2,23.45,46.90
2025-02-12,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,10,5.40,54.00
2025-02-12,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,8,8.35,66.80
2025-02-13,Arena fina saco 40 kg,Materiales de construcción,8,9.17,73.36
2025-02-13,Guante de seguridad latex par,Seguridad industrial,5,6.88,34.40
2025-02-13,Manguera reforzada 15 m,Jardinería,2,49.20,98.40
2025-02-13,Manguera reforzada 15 m,Jardinería,2,47.45,94.90
2025-02-13,Mascarilla KN95 unidad,Seguridad industrial,4,2.67,10.68
2025-02-13,Pegamento PVC 1/4 gl,Gasfitería,5,17.02,85.10
2025-02-13,Tomacorriente doble,Electricidad,15,10.78,161.70
2025-02-13,Tubo PVC agua 1/2 pulgada,Gasfitería,2,7.66,15.32
2025-02-14,Cemento bolsa 42.5 kg,Materiales de construcción,12,29.93,359.16
2025-02-14,Perno hexagonal 1/4 ciento,Tornillería y fijaciones,1,18.80,18.80
2025-02-15,Arena fina saco 40 kg,Materiales de construcción,8,9.44,75.52
2025-02-15,Cemento bolsa 42.5 kg,Materiales de construcción,15,28.63,429.45
2025-02-15,Cinta métrica 5 m,Herramientas manuales,3,13.41,40.23
2025-02-15,Martillo de acero 16 oz,Herramientas manuales,1,27.83,27.83
2025-02-15,Remache pop 1/8 ciento,Tornillería y fijaciones,5,15.73,78.65
2025-02-15,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,3,8.63,25.89
2025-02-16,Cemento bolsa 42.5 kg,Materiales de construcción,12,30.49,365.88
2025-02-16,Guante de seguridad latex par,Seguridad industrial,5,6.87,34.35
2025-02-16,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,4,10.31,41.24
2025-02-16,Válvula check 1/2 pulgada,Gasfitería,4,26.54,106.16
2025-02-17,Alicate universal 8 pulgadas,Herramientas manuales,2,23.63,47.26
2025-02-17,Breaker termomagnético 20A,Electricidad,10,34.04,340.40
2025-02-17,Cinta teflón 12 mm,Gasfitería,10,1.99,19.90
2025-02-17,Llave esférica 1/2 pulgada,Gasfitería,6,14.05,84.30
2025-02-17,Llave esférica 1/2 pulgada,Gasfitería,2,15.09,30.18
2025-02-17,Martillo de acero 16 oz,Herramientas manuales,5,27.30,136.50
2025-02-17,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,2,5.60,11.20
2025-02-17,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,4,5.70,22.80
2025-02-17,Yeso bolsa 20 kg,Materiales de construcción,20,13.45,269.00
2025-02-18,Arena fina saco 40 kg,Materiales de construcción,20,9.69,193.80
2025-02-18,Cemento bolsa 42.5 kg,Materiales de construcción,8,29.82,238.56
2025-02-18,Foco LED 9W luz fría,Electricidad,5,7.06,35.30
2025-02-18,Lente de seguridad transparente,Seguridad industrial,8,9.94,79.52
2025-02-19,Martillo de acero 16 oz,Herramientas manuales,1,27.36,27.36
2025-02-20,Cemento bolsa 42.5 kg,Materiales de construcción,2,29.55,59.10
2025-02-20,Cinta teflón 12 mm,Gasfitería,6,1.96,11.76
2025-02-20,Perno hexagonal 1/4 ciento,Tornillería y fijaciones,1,19.17,19.17
2025-02-20,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,1,5.37,5.37
2025-02-21,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,2,156.05,312.10
2025-02-21,Rotomartillo SDS Plus,Herramientas eléctricas,1,450.79,450.79
2025-02-21,Tomacorriente doble,Electricidad,4,10.82,43.28
2025-02-22,Guante de seguridad latex par,Seguridad industrial,3,6.55,19.65
2025-02-22,Lija al agua grano 220,Pinturas,2,1.00,2.00
2025-02-22,Pintura látex blanca 1 gl,Pinturas,6,47.13,282.78
2025-02-23,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,2,152.83,305.66
2025-02-24,Guante de seguridad latex par,Seguridad industrial,2,6.74,13.48
2025-02-24,Tomacorriente doble,Electricidad,1,11.37,11.37
2025-02-24,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,10,8.37,83.70
2025-02-25,Cable THW 12 AWG metro,Electricidad,15,3.76,56.40
2025-02-25,Lija al agua grano 220,Pinturas,6,1.02,6.12
2025-02-25,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,2,8.48,16.96
2025-02-26,Brocha 2 pulgadas,Pinturas,2,7.05,14.10
2025-02-27,Cinta teflón 12 mm,Gasfitería,5,1.99,9.95
2025-02-27,Lente de seguridad transparente,Seguridad industrial,8,9.72,77.76
2025-02-27,Lija al agua grano 220,Pinturas,2,1.05,2.10
2025-02-27,Martillo de acero 16 oz,Herramientas manuales,1,26.46,26.46
2025-02-27,Tomacorriente doble,Electricidad,1,11.08,11.08
2025-02-27,Tubo PVC agua 1/2 pulgada,Gasfitería,10,7.45,74.50
2025-02-27,Tubo PVC agua 1/2 pulgada,Gasfitería,10,7.48,74.80
2025-02-28,Cable THW 12 AWG metro,Electricidad,2,3.63,7.26
2025-02-28,Cable THW 12 AWG metro,Electricidad,2,3.58,7.16
2025-02-28,Nivel de burbuja 40 cm,Herramientas manuales,3,29.35,88.05
2025-02-28,Tubo PVC agua 1/2 pulgada,Gasfitería,1,7.73,7.73
2025-03-01,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,1,159.31,159.31
2025-03-01,Cemento bolsa 42.5 kg,Materiales de construcción,1,29.96,29.96
2025-03-01,Clavo para madera kg,Materiales de construcción,6,10.33,61.98
2025-03-01,Maceta plastica mediana,Jardinería,1,10.34,10.34
2025-03-02,Cable THW 12 AWG metro,Electricidad,3,3.63,10.89
2025-03-02,Casco de seguridad amarillo,Seguridad industrial,2,23.32,46.64
2025-03-02,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,8,8.72,69.76
2025-03-03,Cemento bolsa 42.5 kg,Materiales de construcción,2,30.04,60.08
2025-03-03,Foco LED 9W luz fría,Electricidad,1,7.37,7.37
2025-03-03,Lija al agua grano 220,Pinturas,2,1.01,2.02
2025-03-04,Anclaje expansivo 3/8 unidad,Tornillería y fijaciones,4,2.81,11.24
2025-03-04,Cinta métrica 5 m,Herramientas manuales,2,13.49,26.98
2025-03-04,Ladrillo pandereta unidad,Materiales de construcción,1,0.99,0.99
2025-03-04,Martillo de acero 16 oz,Herramientas manuales,2,27.57,55.14
2025-03-05,Pegamento PVC 1/4 gl,Gasfitería,6,16.54,99.24
2025-03-05,Pegamento cerámico 25 kg,Materiales de construcción,12,22.55,270.60
2025-03-05,Pegamento cerámico 25 kg,Materiales de construcción,10,23.65,236.50
2025-03-06,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,1,157.44,157.44
2025-03-07,Manguera reforzada 15 m,Jardinería,2,46.68,93.36
2025-03-07,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,4,9.14,36.56
2025-03-08,Remache pop 1/8 ciento,Tornillería y fijaciones,1,15.36,15.36
2025-03-09,Mascarilla KN95 unidad,Seguridad industrial,4,2.59,10.36
2025-03-10,Cemento bolsa 42.5 kg,Materiales de construcción,2,28.56,57.12
2025-03-10,Cemento bolsa 42.5 kg,Materiales de construcción,1,28.52,28.52
2025-03-10,Lija al agua grano 220,Pinturas,1,1.01,1.01
2025-03-10,Tomacorriente doble,Electricidad,5,10.75,53.75
2025-03-11,Cable THW 12 AWG metro,Electricidad,2,3.47,6.94
2025-03-11,Cemento bolsa 42.5 kg,Materiales de construcción,6,29.58,177.48
2025-03-11,Clavo para madera kg,Materiales de construcción,10,9.83,98.30
2025-03-11,Manguera reforzada 15 m,Jardinería,2,49.44,98.88
2025-03-11,Pala jardinera,Jardinería,2,28.10,56.20
2025-03-11,Pegamento PVC 1/4 gl,Gasfitería,1,16.67,16.67
2025-03-11,Rodillo felpa 9 pulgadas,Pinturas,3,15.33,45.99
2025-03-12,Cable THW 12 AWG metro,Electricidad,15,3.72,55.80
2025-03-12,Cemento bolsa 42.5 kg,Materiales de construcción,4,30.04,120.16
2025-03-12,Cinta métrica 5 m,Herramientas manuales,2,13.65,27.30
2025-03-12,Codo PVC 1/2 pulgada,Gasfitería,10,1.59,15.90
2025-03-12,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,8,9.05,72.40
2025-03-13,Alambre recocido kg,Materiales de construcción,12,9.03,108.36
2025-03-13,Cinta aislante negra,Electricidad,10,3.57,35.70
2025-03-13,Clavo para madera kg,Materiales de construcción,8,9.84,78.72
2025-03-13,Foco LED 9W luz fría,Electricidad,3,7.16,21.48
2025-03-13,Thinner acrílico 1 L,Pinturas,2,13.43,26.86
2025-03-13,Trampa lavatorio PVC,Gasfitería,2,12.35,24.70
2025-03-14,Clavo para madera kg,Materiales de construcción,12,9.84,118.08
2025-03-14,Codo PVC 1/2 pulgada,Gasfitería,2,1.52,3.04
2025-03-15,Cinta teflón 12 mm,Gasfitería,1,2.02,2.02
2025-03-15,Ladrillo pandereta unidad,Materiales de construcción,5,0.95,4.75
2025-03-15,Ladrillo pandereta unidad,Materiales de construcción,1,0.95,0.95
2025-03-15,Llave francesa 10 pulgadas,Herramientas manuales,2,39.59,79.18
2025-03-15,Mascarilla KN95 unidad,Seguridad industrial,10,2.51,25.10
2025-03-15,Taladro percutor 650W,Herramientas eléctricas,1,188.07,188.07
2025-03-15,Thinner acrílico 1 L,Pinturas,1,12.45,12.45
2025-03-16,Cinta aislante negra,Electricidad,10,3.71,37.10
2025-03-16,Ladrillo pandereta unidad,Materiales de construcción,5,1.01,5.05
2025-03-16,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,1,5.39,5.39
2025-03-17,Cinta métrica 5 m,Herramientas manuales,3,13.55,40.65
2025-03-17,Pintura látex blanca 1 gl,Pinturas,2,48.12,96.24
2025-03-17,Tubo PVC agua 1/2 pulgada,Gasfitería,10,7.57,75.70
2025-03-18,Cinta aislante negra,Electricidad,10,3.53,35.30
2025-03-18,Tubo PVC agua 1/2 pulgada,Gasfitería,10,7.70,77.00
2025-03-19,Cable THW 12 AWG metro,Electricidad,2,3.51,7.02
2025-03-19,Guante de seguridad latex par,Seguridad industrial,10,6.83,68.30
2025-03-20,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,1,157.03,157.03
2025-03-20,Guante de seguridad latex par,Seguridad industrial,4,6.95,27.80
2025-03-21,Interruptor simple empotrable,Electricidad,1,9.09,9.09
2025-03-21,Pegamento cerámico 25 kg,Materiales de construcción,10,22.56,225.60
2025-03-21,Regadera plástica 10 L,Jardinería,5,28.36,141.80
2025-03-22,Breaker termomagnético 20A,Electricidad,8,33.09,264.72
2025-03-22,Cable THW 12 AWG metro,Electricidad,2,3.50,7.00
2025-03-22,Cinta teflón 12 mm,Gasfitería,5,1.94,9.70
2025-03-22,Codo PVC 1/2 pulgada,Gasfitería,10,1.53,15.30
2025-03-22,Ladrillo pandereta unidad,Materiales de construcción,1,0.96,0.96
2025-03-22,Martillo de acero 16 oz,Herramientas manuales,2,27.09,54.18
2025-03-22,Taladro percutor 650W,Herramientas eléctricas,2,188.91,377.82
2025-03-22,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,5,8.37,41.85
2025-03-23,Cinta teflón 12 mm,Gasfitería,4,1.97,7.88
2025-03-23,Cinta teflón 12 mm,Gasfitería,6,1.98,11.88
2025-03-23,Guante de seguridad latex par,Seguridad industrial,1,6.72,6.72
2025-03-24,Alicate universal 8 pulgadas,Herramientas manuales,2,24.62,49.24
2025-03-24,Alicate universal 8 pulgadas,Herramientas manuales,1,25.37,25.37
2025-03-24,Base selladora 1 gl,Pinturas,2,38.28,76.56
2025-03-24,Brocha 2 pulgadas,Pinturas,2,7.30,14.60
2025-03-24,Chaleco reflectivo,Seguridad industrial,5,17.75,88.75
2025-03-24,Cinta métrica 5 m,Herramientas manuales,3,13.93,41.79
2025-03-24,Codo PVC 1/2 pulgada,Gasfitería,1,1.59,1.59
2025-03-24,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,4,9.05,36.20
2025-03-25,Alicate universal 8 pulgadas,Herramientas manuales,1,24.89,24.89
2025-03-25,Cable THW 12 AWG metro,Electricidad,1,3.66,3.66
2025-03-25,Cemento bolsa 42.5 kg,Materiales de construcción,4,29.38,117.52
2025-03-25,Lija al agua grano 220,Pinturas,1,1.05,1.05
2025-03-26,Arena fina saco 40 kg,Materiales de construcción,4,9.37,37.48
2025-03-26,Interruptor simple empotrable,Electricidad,1,9.30,9.30
2025-03-26,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,8,8.13,65.04
2025-03-26,Trampa lavatorio PVC,Gasfitería,2,12.45,24.90
2025-03-27,Interruptor simple empotrable,Electricidad,10,9.17,91.70
2025-03-27,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,10,8.61,86.10
2025-03-27,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,8,8.15,65.20
2025-03-27,Tubo PVC agua 1/2 pulgada,Gasfitería,2,7.71,15.42
2025-03-28,Esmalte sintético negro 1/4 gl,Pinturas,4,26.20,104.80
2025-03-29,Cinta aislante negra,Electricidad,2,3.68,7.36
2025-03-29,Codo PVC 1/2 pulgada,Gasfitería,2,1.60,3.20
2025-03-29,Esmalte sintético negro 1/4 gl,Pinturas,6,26.32,157.92
2025-03-29,Foco LED 9W luz fría,Electricidad,10,6.96,69.60
2025-03-29,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,4,8.12,32.48
2025-03-30,Cemento bolsa 42.5 kg,Materiales de construcción,4,29.92,119.68
2025-03-30,Cinta métrica 5 m,Herramientas manuales,5,14.17,70.85
2025-03-30,Taladro percutor 650W,Herramientas eléctricas,3,194.25,582.75
2025-03-30,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,3,5.71,17.13
2025-03-31,Alicate universal 8 pulgadas,Herramientas manuales,2,23.50,47.00
2025-03-31,Cinta métrica 5 m,Herramientas manuales,2,14.21,28.42
2025-03-31,Ladrillo pandereta unidad,Materiales de construcción,10,0.99,9.90
2025-03-31,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,1,10.24,10.24
2025-04-01,Cable THW 12 AWG metro,Electricidad,5,3.48,17.40
2025-04-01,Cinta teflón 12 mm,Gasfitería,4,2.04,8.16
2025-04-01,Guante de seguridad latex par,Seguridad industrial,3,6.61,19.83
2025-04-01,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,2,5.42,10.84
2025-04-01,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,3,8.51,25.53
2025-04-02,Protector auditivo tipo copa,Seguridad industrial,5,30.38,151.90
2025-04-03,Alicate universal 8 pulgadas,Herramientas manuales,3,24.09,72.27
2025-04-03,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,3,5.52,16.56
2025-04-04,Base selladora 1 gl,Pinturas,1,40.77,40.77
2025-04-04,Brocha 2 pulgadas,Pinturas,4,7.00,28.00
2025-04-04,Cable THW 12 AWG metro,Electricidad,1,3.53,3.53
2025-04-04,Guante de seguridad latex par,Seguridad industrial,2,6.89,13.78
2025-04-04,Interruptor simple empotrable,Electricidad,1,9.03,9.03
2025-04-04,Ladrillo pandereta unidad,Materiales de construcción,3,0.96,2.88
2025-04-04,Pintura látex blanca 1 gl,Pinturas,3,50.23,150.69
2025-04-05,Cable THW 12 AWG metro,Electricidad,1,3.60,3.60
2025-04-05,Ladrillo pandereta unidad,Materiales de construcción,2,1.00,2.00
2025-04-05,Ladrillo pandereta unidad,Materiales de construcción,10,1.02,10.20
2025-04-05,Lija al agua grano 220,Pinturas,1,1.05,1.05
2025-04-05,Llave esférica 1/2 pulgada,Gasfitería,3,14.22,42.66
2025-04-05,Pegamento cerámico 25 kg,Materiales de construcción,20,23.66,473.20
2025-04-06,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,1,151.63,151.63
2025-04-06,Lija al agua grano 220,Pinturas,2,1.01,2.02
2025-04-06,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,5,5.36,26.80
2025-04-07,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,4,8.97,35.88
2025-04-08,Destornillador plano 6 pulgadas,Herramientas manuales,1,8.61,8.61
2025-04-08,Yeso bolsa 20 kg,Materiales de construcción,3,14.18,42.54
2025-04-09,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,2,151.47,302.94
2025-04-09,Cemento bolsa 42.5 kg,Materiales de construcción,6,28.56,171.36
2025-04-09,Cinta métrica 5 m,Herramientas manuales,2,13.42,26.84
2025-04-09,Guante de seguridad latex par,Seguridad industrial,1,6.44,6.44
2025-04-09,Juego de llaves mixtas 8 piezas,Herramientas manuales,5,56.90,284.50
2025-04-09,Juego de llaves mixtas 8 piezas,Herramientas manuales,5,57.72,288.60
2025-04-09,Tablero eléctrico 8 polos,Electricidad,4,84.01,336.04
2025-04-10,Canaleta PVC 20x10 mm,Electricidad,3,4.65,13.95
2025-04-10,Foco LED 9W luz fría,Electricidad,15,7.32,109.80
2025-04-10,Rastrillo metálico,Jardinería,2,33.92,67.84
2025-04-11,Foco LED 9W luz fría,Electricidad,3,7.27,21.81
2025-04-11,Interruptor simple empotrable,Electricidad,3,9.30,27.90
2025-04-11,Lija al agua grano 220,Pinturas,4,1.02,4.08
2025-04-12,Cinta métrica 5 m,Herramientas manuales,2,14.06,28.12
